Date,Temperature (°C),Humidity (%),Wind Speed (km/h),Rainfall (mm)
2025-02-09,28.3,61.9,16.3,0
2025-02-10,34.1,45.0,11.8,0
2025-02-11,42.1,54.1,15.4,0
2025-02-12,37.1,48.5,13.0,0
2025-02-13,31.5,57.9,13.4,0
2025-02-14,33.4,56.3,13.7,0
2025-02-15,40.5,63.3,13.3,0
2025-02-16,33.6,47.7,13.9,0
2025-02-17,38.4,49.9,16.0,0
2025-02-18,37.7,42.7,12.6,0
2025-02-19,34.3,48.0,14.1,0
2025-02-20,45.0,56.1,11.7,0
2025-02-21,41.0,59.8,16.3,10
2025-02-22,27.8,42.9,10.0,0
2025-02-23,38.9,60.7,17.4,0
2025-02-24,34.8,65.4,11.9,0
2025-02-25,42.5,55.9,7.7,0
2025-02-26,34.3,70.5,12.4,0
2025-02-27,37.8,43.9,10.0,0
2025-02-28,41.0,39.1,14.5,10
2025-03-01,42.9,33.6,10.0,0
2025-03-02,32.7,66.3,10.7,20
2025-03-03,37.1,57.8,6.3,5
2025-03-04,36.5,50.6,10.6,0
2025-03-05,35.7,53.9,4.7,10
2025-03-06,45.0,39.7,7.2,0
2025-03-07,41.1,75.4,14.3,0
2025-03-08,32.8,52.2,14.4,0
2025-03-09,43.8,51.9,13.3,5
2025-03-10,45.0,58.0,9.1,5
2025-03-11,44.5,55.5,11.9,0
2025-03-12,31.8,52.8,12.0,0
2025-03-13,37.0,42.6,8.5,0
2025-03-14,45.0,55.2,16.5,0
2025-03-15,36.0,69.3,14.6,0
2025-03-16,41.8,63.8,11.3,0
2025-03-17,43.5,66.3,12.1,0
2025-03-18,35.1,45.2,12.6,0
2025-03-19,39.4,40.4,5.9,20
2025-03-20,23.6,49.0,11.3,0
2025-03-21,34.7,50.7,10.0,0
2025-03-22,38.6,61.1,9.0,0
2025-03-23,33.6,33.2,11.2,5
2025-03-24,45.0,65.4,17.4,10
2025-03-25,32.8,48.5,13.9,0
2025-03-26,37.7,45.8,10.3,0
2025-03-27,40.6,39.9,13.7,0
2025-03-28,45.0,33.5,16.2,0
2025-03-29,32.8,58.2,14.8,0
2025-03-30,45.0,50.7,12.2,0
2025-03-31,40.0,37.1,10.1,0
2025-04-01,35.1,37.0,14.1,0
2025-04-02,42.3,46.6,13.2,0
2025-04-03,41.0,66.7,14.7,0
2025-04-04,37.0,47.4,13.9,0
2025-04-05,40.3,35.0,15.1,15
2025-04-06,38.0,47.6,10.4,0
2025-04-07,40.5,47.3,16.0,15
2025-04-08,43.2,23.1,12.6,0
2025-04-09,45.0,49.5,18.2,0
2025-04-10,33.7,47.8,9.9,0
2025-04-11,45.0,57.1,17.2,0
2025-04-12,30.1,68.7,12.6,0
2025-04-13,39.0,61.5,10.0,0
2025-04-14,42.7,47.6,10.5,0
2025-04-15,41.1,39.2,11.0,0
2025-04-16,36.6,76.1,13.3,0
2025-04-17,38.6,51.0,13.6,0
2025-04-18,37.1,50.6,10.3,0
2025-04-19,36.6,50.2,11.9,0
2025-04-20,43.7,52.5,18.4,0
2025-04-21,41.2,49.1,17.2,0
2025-04-22,35.9,44.9,13.3,20
2025-04-23,43.8,45.2,12.1,0
2025-04-24,40.8,50.4,12.4,0
2025-04-25,43.2,45.4,13.8,20
2025-04-26,42.3,43.8,8.9,0
2025-04-27,34.9,52.0,11.2,0
2025-04-28,36.2,48.5,7.0,0
2025-04-29,42.6,66.2,13.2,0
2025-04-30,41.9,24.7,13.9,0
2025-05-01,38.6,62.2,10.6,0
2025-05-02,39.2,63.8,16.7,0
2025-05-03,44.9,30.7,8.3,0
2025-05-04,35.5,48.1,7.6,20
2025-05-05,41.1,47.9,12.7,0
2025-05-06,37.3,37.7,15.1,0
2025-05-07,37.1,44.1,17.1,0
2025-05-08,43.6,40.8,10.6,0
2025-05-09,42.1,69.6,15.2,0
2025-05-10,41.9,61.5,11.9,0
2025-05-11,44.3,65.0,11.5,0
2025-05-12,37.7,59.6,14.7,5
2025-05-13,40.9,41.2,14.0,0
2025-05-14,35.9,47.3,7.3,0
2025-05-15,38.9,57.6,16.4,0
2025-05-16,36.5,40.6,16.1,0
2025-05-17,37.5,60.1,10.1,0
2025-05-18,39.9,50.7,13.2,0
2025-05-19,32.7,49.4,13.5,0
2025-05-20,45.0,60.4,12.8,0
2025-05-21,31.5,57.9,10.3,0
2025-05-22,30.3,50.0,10.0,0
2025-05-23,42.1,65.3,11.9,0
2025-05-24,40.1,43.0,15.5,0
2025-05-25,39.1,60.1,13.6,0
2025-05-26,39.0,60.1,10.9,0
2025-05-27,35.7,51.2,14.3,0
2025-05-28,31.1,57.7,3.5,0
2025-05-29,35.8,42.0,15.4,0
2025-05-30,31.9,63.9,6.8,0
2025-05-31,40.0,53.0,10.9,20
2025-06-01,34.3,49.8,8.6,0
2025-06-02,30.7,65.6,8.1,15
2025-06-03,33.1,48.2,15.5,0
2025-06-04,36.6,41.4,10.6,0
2025-06-05,31.6,40.0,13.0,0
2025-06-06,30.1,61.8,11.9,0
2025-06-07,35.3,43.1,13.4,0
2025-06-08,35.2,73.6,12.2,0
2025-06-09,31.2,35.4,8.2,0
2025-06-10,31.3,73.3,15.0,0
2025-06-11,34.6,58.7,10.5,0
2025-06-12,26.1,55.7,7.3,0
2025-06-13,26.1,51.4,10.7,0
2025-06-14,29.4,61.0,16.5,0
2025-06-15,31.7,56.8,14.6,0
2025-06-16,34.2,68.4,11.0,0
2025-06-17,39.8,58.7,11.0,0
2025-06-18,36.6,59.2,11.0,5
2025-06-19,31.3,54.2,18.2,15
2025-06-20,31.9,57.5,13.1,0
2025-06-21,26.8,61.3,13.3,0
2025-06-22,31.5,41.3,15.1,0
2025-06-23,30.0,45.1,12.7,0
2025-06-24,32.9,66.1,11.2,0
2025-06-25,27.0,60.6,11.4,0
2025-06-26,33.5,57.2,11.8,0
2025-06-27,38.4,59.4,11.9,10
2025-06-28,30.1,62.9,14.2,0
2025-06-29,32.4,54.2,12.2,0
2025-06-30,33.7,52.0,14.2,0
